RECN,AUN,MUS,TI,ATI,PG,ED,SR,CT,COM,PL,YR,DATE,OY,VOL,NUM,EN,CODE,CITE,GCITE,VO,NOTE,XN,PER,CAT,EX,TR,SC,FE,DI,DIU,ROYAL,COMMIT,CALL,MSG,STAMP,UPN,SORTN,SORT2N,LCITE,BIB,recid,GCITE2,firsttwo,FirstLetter
12,"Sanpere i Miquel, S., and J. Gudiol [i Cunill].",,Els trescentistes,,,,"La pintura mig-eval catalana, vol.2",,,Barcelona,[1926],,,,,,SANGU,"Sanpere i Miquel and Gudiol [i Cunill], [1926], pt. , p.","Sanpere i Miquel and Gudiol [i Cunill], [1926]",1 vol. in 2 pts.,"seen.10.18.90.fma   Checked: EW 6/20/91 /  IJR, 6/28/91",,,,,,,,,,General - Regional,,,B C D F G I M1 M4 S T,KS |D 1989 04 19 |T 15:11:10,FMA |D 1990 10 18 |T 08:40:23,,,"Sanpere i Miquel, S., and J. Gudiol [i Cunill].  Els trescentistes.  La pintura mig-eval catalana, vol.2.  1 vol. in 2 pts. Barcelona, [1926].","Sanpere i Miquel, S., and J. Gudiol [i Cunill].  Els trescentistes.  La pintura mig-eval catalana, vol.2.  1 vol. in 2 pts. Barcelona, [1926].",12,"Sanpere i Miquel and Gudiol [i Cunill], [1926]",Sanpere i,S
13,"Gudiol i Cunill, J.",,Nocions d'arqueología sagrada catalana,,,2nd.,,,,Barcelona,1931-1933,,,,,,GUCU31,"Gudiol i Cunill, v. , 193 , p.","Gudiol i Cunill, 1931-1933",2 vols.,"Checked: EW 6/19/91 / IJR, 6/27/91    seen.5.19.92.fma",,,,,,,,,,Back on Shelf,,815.7 G93 Ed.2,A,KS |D 1989 04 19 |T 15:11:10,FMA |D 1991 03 28 |T 13:10:17,,,"Gudiol i Cunill, J.  Nocions d'arqueología sagrada catalana.  2 vols.  2nd. ed.  Barcelona, 1931-1933.","Gudiol i Cunill, J.  Nocions d'arqueología sagrada catalana.  2 vols.  2nd. ed.  Barcelona, 1931-1933.",13,"Gudiol i Cunill, 1931-1933",Gudiol i,G
14,"Sanpere y Miquel, S.",,Los cuatrocentistas catalanes. Historia de la pintura en Cataluña en el siglo XV,,,,,,,Barcelona,1906,,,,,,SANMI,"Sanpere y Miquel, 1906, v. , p.","Sanpere y Miquel, 1906",2 vols.,"Checked: IJR, 5/14/91, EW 5/24/91",,,,,,,,,,General - Regional,,,A B C D F G H I J L M4 N T,KS |D 1989 04 19 |T 15:45:26,FMA |D 1990 08 15 |T 11:57:32,,,"Sanpere y Miquel, S.  Los cuatrocentistas catalanes. Historia de la pintura en Cataluña en el siglo XV.  2 vols.  Barcelona, 1906.","Sanpere y Miquel, S.  Los cuatrocentistas catalanes. Historia de la pintura en Cataluña en el siglo XV.  2 vols.  Barcelona, 1906.",14,"Sanpere y Miquel, 1906",Sanpere y,S
15,,,Història de l'art català,,,,,,,Barcelona,1983-1986  [Individual volumes listed by author],,,,,,,,Història de l'art català,8 vols.,"At FARL, v. 1-3, 5-6, 8.  Checked: IJR, 5/14/91 seen.5.17.91.fma  EW 7/5/91",,,,,,,,,,General - Regional,,803 H725,A B C D E F G H M1 M2 M3 M4 V,KS |D 1989 04 19 |T 15:50:35,FMA |D 1990 08 08 |T 13:13:21,,,"Història de l'art català.  8 vols.  Barcelona, 1983-1986 [Individual volumes listed by author].","Història de l'art català.  8 vols.  Barcelona, 1983-1986 [Individual volumes listed by author].",15,Història de l'art català,Història de,H
16,"Furió, A.",,Diccionario histórico de los ilustres profesores de las bellas artes en Mallorca,,,,,,,Palma [de Mallorca],1839,,,,,,FURIO,"Furió, 1839, p.","Furió, 1839",,"Checked: IJR, 6/5/91  Checked:  EW 6/21/91",,,,,,,,,,General - Regional,,802 F97,B C D F H M3  M4 O,KS |D 1989 04 19 |T 16:07:48,MPI |D 1990 10 17 |T 15:21:09,,,"Furió, A.  Diccionario histórico de los ilustres profesores de las bellas artes en Mallorca.  Palma [de Mallorca], 1839.","Furió, A.  Diccionario histórico de los ilustres profesores de las bellas artes en Mallorca.  Palma [de Mallorca], 1839.",16,"Furió, 1839","Furió, 1839",F
17,"Llompart, G.",,La pintura medieval mallorquina. Su entorno cultural y su iconografía,,,,,,,Palma de Mallorca,1977-1980,,,,,,LLOMPART,"Llompart, v. , 19  , p.","Llompart, 1977-1980",4 vols.,Checked: IJR 5/17/91 - Checked: EW 5/23/91,,,,,,,,,,General - Regional,,,A B C D L M3 M2 N O S,KS |D 1989 04 19 |T 16:09:50,EW |D 1990 08 06 |T 15:46:58,,,"Llompart, G.  La pintura medieval mallorquina. Su entorno cultural y su iconografía.  4 vols.  Palma de Mallorca, 1977-1980.","Llompart, G.  La pintura medieval mallorquina. Su entorno cultural y su iconografía.  4 vols.  Palma de Mallorca, 1977-1980.",17,"Llompart, 1977-1980","Llompart, 1977-1980",L
18,"Ripoll, L., and R. Perelló Paradelo.",,Las Baleares y sus pintores (1836-1936). Ensayo de identificación y acercamiento,,,,,,,Palma de Mallorca,1981,,,,,,RIPE,"Ripoll and Perelló Paradelo, 1981, p.","Ripoll and Perelló Paradelo, 1981",,"seen.8.16.90.fma    Checked: IJR, 5/21/91, EW 5/23/91",,,,,,,,,,General,,812 R48,A B C F H M1 M3 M4 N O P R T,KS |D 1989 04 19 |T 16:10:51,FMA |D 1990 08 16 |T 15:23:40,,,"Ripoll, L., and R. Perelló Paradelo.  Las Baleares y sus pintores (1836-1936). Ensayo de identificación y acercamiento.  Palma de Mallorca, 1981.","Ripoll, L., and R. Perelló Paradelo.  Las Baleares y sus pintores (1836-1936). Ensayo de identificación y acercamiento.  Palma de Mallorca, 1981.",18,"Ripoll and Perelló Paradelo, 1981",Ripoll and,R
19,"Alcahalí, Barón de [J. Ruiz de Eihori].",,Diccionario biográfico de artistas valencianos,,,,,,,Valencia,1897,,,,,,ALCA,"Alcahalí, 1897, p.","Alcahalí, 1897",,"Checked: IJR, 5/13/91, EW 5/21/91  seen.5.24.91.fma",,,,,,,,,,,,,A B C D E F G H I J L M1 M3 M4 N O P R S T V,KS |D 1989 04 19 |T 16:13:01,EW |D 1990 07 23 |T 16:17:13,,,"Alcahalí, Barón de [J. Ruiz de Eihori].  Diccionario biográfico de artistas valencianos.  Valencia, 1897.","Alcahalí, Barón de [J. Ruiz de Eihori].  Diccionario biográfico de artistas valencianos.  Valencia, 1897.",19,"Alcahalí, 1897","Alcahalí, 1897",A
20,"Llaguno y Amirola, E.",,"Noticias de los arquitectos y arquitectura de España desde su restauración, ilustradas y acrecentadas con notas, adiciones y documentos por D. Juan Agustín Ceán Bermúdez",,,,,,,Madrid,1829,,,,,,LLAA,"Llaguno y Amirola, 1829, v. , p.","Llaguno y Amirola, 1829",4 vols.,"seen.5.14.91.fma / EW 5/32/91 / IJR, 6/11/91",,,,,,,,,,Architecture,,833 c32,A B C D E F G H I J M1 M3 O P S T V,IR |D 1989 04 19 |T 16:40:27,FMA |D 1990 08 14 |T 13:19:12,,,"Llaguno y Amirola, E.  Noticias de los arquitectos y arquitectura de España desde su restauración, ilustradas y acrecentadas con notas, adiciones y documentos por D. Juan Agustín Ceán Bermúdez.  4 vols. Madrid, 1829.","Llaguno y Amirola, E.  Noticias de los arquitectos y arquitectura de España desde su restauración, ilustradas y acrecentadas con notas, adiciones y documentos por D. Juan Agustín Ceán Bermúdez.  4 vols. Madrid, 1829.",20,"Llaguno y Amirola, 1829",Llaguno y,L
21,,"Florence, Uffizi",Catalogo generale,,,,,Comps.,"L. Berti, et al",,,|y 1979,,,,,FLOU79,"Florence, Uffizi [cat.], 1979, p.","Florence, Uffizi [cat.], 1979",,Checked: EW 8/1/91 // IJR 9/23/91,,,y,,,,,,,Back on Shelf,,,B,EW |D 1991 08 01 |T 09:44:33,EW |D 1991 08 01 |T 09:44:33,,,"Florence, Uffizi.  Catalogo generale [cat.].  Comps. L. Berti, et al.  1979.","Florence, Uffizi.  Catalogo generale [cat.].  Comps. L. Berti, et al.  1979.",21,"Florence, Uffizi [cat.], 1979","Florence, Uffizi",F
22,"Bénézit, E.",,"Dictionnaire critique et documentaire des peintres, sculpteurs, dessinateurs et graveurs de tous les temps et de tous les pays par un groupe d'écrivains spécialistes français et étrangers",,,Rev.,,,,Paris,1976,,,,,,B,"Bénézit, 1976.","Bénézit, 1976",10 vols.,"Seen.8.30.90.fma    Checked: IJR, 5/13/91, EW 5/23/91",,,,,,,,,,,Reading Room,,A B C D E F G H I J K L M1 M2 M3 M4 N O P Q R S T V Y Z Appendix D,IR |D 1989 04 20 |T 09:54:46,FMA |D 1990 08 30 |T 12:37:13,,,"Bénézit, E.  Dictionnaire critique et documentaire des peintres, sculpteurs, dessinateurs et graveurs de tous les temps et de tous les pays par un groupe d'écrivains spécialistes français et étrangers.  10 vols. Rev. ed.  Paris, 1976.","Bénézit, E.  Dictionnaire critique et documentaire des peintres, sculpteurs, dessinateurs et graveurs de tous les temps et de tous les pays par un groupe d'écrivains spécialistes français et étrangers.  10 vols. Rev. ed.  Paris, 1976.",22,"Bénézit, 1976","Bénézit, 1976",B
23,"Thieme, U., et al.",,Allgemeines Lexikon der bildenden Künstler von der Antike bis zur Gegenwart,,,,,,,Leipzig,1907-1950,,,,,,T,"Thieme-Becker, v.  , 19  .","Thieme-Becker, 1907-1950",37 vols.,"v.1-4, Thieme & Becker; 5-13, Thieme; 14-15, Thieme & Willis; 16-37, Vollmer. = seen.5.10.91.fma; IJR, 5/22/91, EW 5/24/91",,,,,,,,,,,,,A B C D E F G H I J K L M1 M2 M3 M4 N O P Q R S T U V W X Y  Z,IR |D 1989 04 20 |T 10:01:37,FMA |D 1990 09 24 |T 11:28:16,,,"Thieme, U., et al.  Allgemeines Lexikon der bildenden Künstler von der Antike bis zur Gegenwart.  37 vols.  Leipzig, 1907-1950.","Thieme, U., et al.  Allgemeines Lexikon der bildenden Künstler von der Antike bis zur Gegenwart.  37 vols.  Leipzig, 1907-1950.",23,"Thieme-Becker, 1907-1950",Thieme-Becker,T
24,,"London, Witt Library, Courtauld Institute of Art","A Checklist of Painters, c1200-1976, Represented in the Witt Library",,,,,,,,1978,,,,,,W,"London, Witt, 1978.","London, Witt, 1978",,"seen.5.17.91.fma, IJR 5/17/91, EW 5/23/91",,,,,,,,,,,,,A B C D E F G H I J L M1 M2 M3 M4 N O P Q R S T V Z,IR |D 1989 04 20 |T 10:02:49,EW |D 1990 08 06 |T 15:49:51,,,"London, Witt Library, Courtauld Institute of Art.  A Checklist of Painters, c1200-1976, Represented in the Witt Library.  1978.","London, Witt Library, Courtauld Institute of Art.  A Checklist of Painters, c1200-1976, Represented in the Witt Library.  1978.",24,"London, Witt, 1978","London, Witt",L
25,"Post, C.R.",,A History of Spanish Painting,,,,,,,"Cambridge, Mass.",1930-1966,,,,,,POST,"Post, v. , 19  , p.","Post, 1930-1966",14 vols.,"seen.5.20.91.fma; IJR, 5/21/91, EW 5/23/91",,,,,,,,,,General,,,A B C D E F G H I J L M1 M2 M3 M4 N O P R S V Y,IR |D 1989 04 20 |T 10:04:57,FMA |D 1989 10 05 |T 08:42:16,,,"Post, C.R.  A History of Spanish Painting.  14 vols. Cambridge, Mass., 1930-1966.","Post, C.R.  A History of Spanish Painting.  14 vols. Cambridge, Mass., 1930-1966.",25,"Post, 1930-1966","Post, 1930-1966",P
26,"Haraszti-Takács, M.",,Spanish Genre Painting in the Seventeenth Century,,,,,Trans.,A. Falvay,Budapest,1983,,,,,,HATA,"Haraszti-Takács, 1983, p.","Haraszti-Takács, 1983",,"Czech't! IJR, 5/17/91  EW 6/21/91     seen.5.6.94.fma",,,,,,,,,,Authors,,815.9 T14,C E F H L M1 P,IR |D 1989 04 20 |T 10:06:16,FMA |D 1989 07 07 |T 09:49:42,,,"Haraszti-Takács, M.  Spanish Genre Painting in the Seventeenth Century.  Trans. A. Falvay.  Budapest, 1983.","Haraszti-Takács, M.  Spanish Genre Painting in the Seventeenth Century.  Trans. A. Falvay.  Budapest, 1983.",26,"Haraszti-Takács, 1983",Haraszti-Takács,H
27,"Aguilera, E.M.",,Pintores españoles del siglo XVIII,,,,,,,Barcelona,1946,,,,,,AGUI46,"Aguilera, 1946, p.","Aguilera, 1946",,"Checked: IJR, 6/6/91  EW 6/18/91   seen.4.7.92.FMA",,,,,,,,,,,,,C E F G L,IR |D 1989 04 20 |T 10:07:12,FMA |D 1989 10 12 |T 12:18:14,,,"Aguilera, E.M.  Pintores españoles del siglo XVIII.  Barcelona, 1946.","Aguilera, E.M.  Pintores españoles del siglo XVIII.  Barcelona, 1946.",27,"Aguilera, 1946","Aguilera, 1946",A
28,"Ossorio y Bernard, M.",,Galería biográfica de artistas españoles del siglo XIX,,,,,,,Madrid,1883-1884,,,,,,OBER,"Ossorio y Bernard, 1883-1884.","Ossorio y Bernard, 1883-1884",,"Checked: IJR, 5/21/91, EW 5/23/91   seen.1.31.95.fma",,,,,,,,,,General,,804 Os7,A B C D E F G H I J K L M1 M3 M4 N O P Q R S T V,IR |D 1989 04 20 |T 10:08:40,FMA |D 1989 07 07 |T 09:52:43,,,"Ossorio y Bernard, M.  Galería biográfica de artistas españoles del siglo XIX.  Madrid, 1883-1884.","Ossorio y Bernard, M.  Galería biográfica de artistas españoles del siglo XIX.  Madrid, 1883-1884.",28,"Ossorio y Bernard, 1883-1884",Ossorio y,O
29,"Ráfols, J.F.",,El arte romántico en España,,,,,,,Barcelona,1954,,,,,,RAFOLS54,"Ráfols, 1954, p.","Ráfols, 1954",,"Checked: IJR, 5/21/91, EW 5/23/91        seen.7.17.91.fma",,,,,,,,,,General,,,A B C D E F G H L M1 P R S T V,IR |D 1989 04 20 |T 10:09:45,MPI |D 1989 06 26 |T 10:00:51,,,"Ráfols, J.F.  El arte romántico en España.  Barcelona, 1954.","Ráfols, J.F.  El arte romántico en España.  Barcelona, 1954.",29,"Ráfols, 1954","Ráfols, 1954",R
30,"Pantorba, B. de [J. López Jiménez].",,Historia y crítica de las exposiciones nacionales de bellas artes celebradas en España,,,,,,,Madrid,1948,,,,,,PANTOR48,"Pantorba, 1948, p.","Pantorba, 1948",,"seen.10.6.89.fma   Checked: IJR, 5/21/91, EW 5/23/91",,,,,,,,,,General,,,A B C D E F G H I J L M1 M3 M4 N O P Q R S T V,IR |D 1989 04 20 |T 10:13:06,FMA |D 1989 10 06 |T 11:47:34,,,"Pantorba, B. de [J. López Jiménez].  Historia y crítica de las exposiciones nacionales de bellas artes celebradas en España.  Madrid, 1948.","Pantorba, B. de [J. López Jiménez].  Historia y crítica de las exposiciones nacionales de bellas artes celebradas en España.  Madrid, 1948.",30,"Pantorba, 1948","Pantorba, 1948",P
31,"Gaya Nuño, J.A.",,La pintura española del siglo XX,,,,,,,Madrid,1970,,,,,,GANU70,"Gaya Nuño, 1970, p.","Gaya Nuño, 1970",,"Checked: IJR, 5/17/91, EW 5/23/91",,,,,,,,,,General,,,A B C D E F G H I L M1 M3 M4 N O P R S T V Z,IR |D 1989 04 20 |T 10:14:17,MJO |D 1989 06 26 |T 09:58:29,,,"Gaya Nuño, J.A.  La pintura española del siglo XX.  Madrid, 1970.","Gaya Nuño, J.A.  La pintura española del siglo XX.  Madrid, 1970.",31,"Gaya Nuño, 1970",Gaya Nuño,G
32,"Orellana, M.A. de [1731-1813].",,"Biografía pictórica valentina o vida de los pintores, arquitectos, escultores y grabadores valencianos. Obra filológica",,,,(Ms.) Fuentes literarias para la historia del arte español,Ed.,X. de Salas,Madrid,1930,,,,,,ORE,"Orellana, 1930, p.","Orellana, 1930",,"Checked: EW 6/27/91 / IJR, 6/28/91         seen.7.17.91.fma",,,,,,,,,,General - Regional,,,B C D E F G H I J L M1 M4 O S V,KS |D 1989 04 20 |T 10:19:06,IR |D 1990 07 30 |T 12:14:12,,,"Orellana, M.A. de [1731-1813].  Biografía pictórica valentina o vida de los pintores, arquitectos, escultores y grabadores valencianos. Obra filológica.  (Ms.) Fuentes literarias para la historia del arte español.  Ed. X. de Salas.  Madrid, 1930.","Orellana, M.A. de [1731-1813].  Biografía pictórica valentina o vida de los pintores, arquitectos, escultores y grabadores valencianos. Obra filológica.  (Ms.) Fuentes literarias para la historia del arte español.  Ed. X. de Salas.  Madrid, 1930.",32,"Orellana, 1930","Orellana, 1930",O
33,"Casaseca Casaseca, A.",,"Actas do simpósio internacional. IV centenário da morte de João de Ruão, Rouen 1500-Coimbra 1580. A introdução da arte da renascença na península Ibérica. Instituto de História da Arte da Universidade de Coimbra, 26 a 30 de março de 1980",El hijo de Juan de Borgoña y la pintura renacentista de Zamora,,,,,,Coimbra,"1981, pp.201-226",,,,,,CACA81,"Casaseca Casaseca, 1981, p.","Casaseca Casaseca, 1981",,Checked: EW 8/1/91 / IJR 9/23/91     seen.14.8.92.fma Book filed in Royal Library in the Castilian Sculpture section.,,,,,,,y,,,Back on Shelf,,018 In89 1980,A B,EW |D 1991 08 01 |T 10:22:20,EW |D 1991 08 01 |T 10:22:20,,,"Casaseca Casaseca, A.  El hijo de Juan de Borgoña y la pintura renacentista de Zamora.  In Actas do simpósio internacional. IV centenário da morte de João de Ruão, Rouen 1500-Coimbra 1580. A introdução da arte da renascença na península Ibérica. Instituto de História da Arte da Universidade de Coimbra, 26 a 30 de março de 1980.  Coimbra, 1981, pp.201-226.","Casaseca Casaseca, A.  El hijo de Juan de Borgoña y la pintura renacentista de Zamora.  In Actas do simpósio internacional. IV centenário da morte de João de Ruão, Rouen 1500-Coimbra 1580. A introdução da arte da renascença na península Ibérica. Instituto de História da Arte da Universidade de Coimbra, 26 a 30 de março de 1980.  Coimbra, 1981, pp.201-226.",33,"Casaseca Casaseca, 1981",Casaseca Casaseca,C
35,"Pulido y Pulido, T.",,Datos para la historia artística cacereña (repertorio de artistas),,,,,,,Cáceres,1980,,,,,,PUPU,"Pulido y Pulido, 1980, p.","Pulido y Pulido, 1980",,"Checked:  EW 6/19/91 / IJR, 6/27/91   seen.3.26.92.fma",,,,,,,,,,General - Regional,,804 p96,C I,IR |D 1989 04 20 |T 10:18:51,IR |D 1990 07 30 |T 13:03:03,,,"Pulido y Pulido, T.  Datos para la historia artística cacereña (repertorio de artistas).  Cáceres, 1980.","Pulido y Pulido, T.  Datos para la historia artística cacereña (repertorio de artistas).  Cáceres, 1980.",35,"Pulido y Pulido, 1980",Pulido y,P
36,"Rodríguez-Moñino, A.",,Los pintores badajoceños del siglo XVI,,,,,,,Badajoz,1956,,,,,,ROMO,"Rodríguez-Moñino, 1956, p.","Rodríguez-Moñino, 1956",,"Checked: EW 6/19/91 / IJR, 6/27/91",,,,,,,,,,General - Regional,,,G,IR |D 1989 04 20 |T 10:21:06,MPI |D 1989 07 07 |T 09:54:20,,,"Rodríguez-Moñino, A.  Los pintores badajoceños del siglo XVI. Badajoz, 1956.","Rodríguez-Moñino, A.  Los pintores badajoceños del siglo XVI. Badajoz, 1956.",36,"Rodríguez-Moñino, 1956",Rodríguez-Moñino,R
